objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Emojito!","192283","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319248","5.51734","5.90278","1","19781","310","thing","Emojito!","2","14","30","30","30","2016","3,4,5,6,7,8,9,10,11,12,13,14","5,6,7,8,9,10","4–18","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape the Labyrinth","319105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133925380","0","5.21154","1.5","0","127","thing","Escape the Labyrinth","1","4","20","20","10","2020","","","4–8","No necessary in-game text","","","","","","standalone","","670","YEN","","","2025-07-11","surugaya","1","","","","","","",""
"Everdell","199792","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127837841","7.81296","7.98818","2.8338","42","101878","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","3800","YEN","","","2025-01-16","Temu","1","","","","","","",""
"Evolution","155703","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119079869","6.78985","7.01061","2.4253","757","24883","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1000","YEN","","","2024-05-02","Surugaya","1","","","","","","",""
"EXIT: The Game – Dead Man on the Orient Express","226522","0","0","0","1","0","0","0","0","0","0","0","3","","borrowed","","","","115318462","6.91727","7.53594","2.663","594","10991","thing","EXIT: The Game – Dead Man on the Orient Express","1","4","120","120","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318653","5.88366","6.0684","1.081","3933","90318","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: 2-Player Edition","356226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097559","5.57154","6.32964","1.2857","11013","1509","thing","Exploding Kittens: 2-Player Edition","2","2","20","20","20","2022","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","563","YEN","","","","","","","","","","","",""
"Express 01","127798","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862853","5.46028","4.93827","2.9048","29155","408","thing","Express 01","2","4","60","60","60","2012","","2","","No necessary in-game text","","","","","","standalone","","600","YEN","","","2025-05-01","","1","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124997013","6.80244","7.11419","1.0955","745","19892","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantasy Realms","223040","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387911","7.24241","7.50531","1.8103","269","28391","thing","Fantasy Realms","2","6","20","20","20","2022","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","3599","AUD","","","2025-12-15","Amazon Australia","1","","","","WizKids (I)","English","2022","English edition 2022"
"Fast Forward: FORTRESS","231665","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119152736","5.80684","6.25224","1.3056","4642","2752","thing","Fast Forward: FORTRESS","2","4","15","15","15","2017","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","612","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"First Contact","258309","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590718","6.07378","6.94993","2","2752","2586","thing","First Contact","2","7","40","40","15","2018","4,5,6,7","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","2160","YEN","","","","","","","","","","","",""
"Floriferous","322622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387818","6.51667","7.42281","1.7089","1267","6128","thing","Floriferous","1","4","30","30","20","2021","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","1235","YEN","","","2026-01-26","Surugaya","1","","","","","","",""
"Fluxx","258","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116096544","5.56179","5.67842","1.3889","11822","32809","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","563","YEN","","","2024-02-03","","","","","","","","",""
"Fluxx: The Board Game","140796","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116591050","5.54656","5.75109","1.8947","13470","2120","thing","Fluxx: The Board Game","2","4","30","30","30","2013","2,3,4","3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1083","YEN","","","2024-02-23","","","","","","","","",""
"For Northwood! A Solo Trick-Taking Game","334590","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141387712","7.02047","7.78584","1.8385","469","10480","thing","For Northwood! A Solo Trick-Taking Game","1","1","30","30","15","2021","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1425","YEN","","","2026-01-26","Surugaya","1","","","2026-01-26","(Self-Published)","English","2021","English edition"
"Forbidden Island","65244","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318385","6.6412","6.75023","1.7403","1014","99637","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Foreign King: Railroad / Catholic Against Liberals","186319","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167797","0","5.83333","0","0","165","thing","The Foreign King: Railroad / Catholic Against Liberals","2","4","0","0","0","2015","","","","","","","","","","expansion","","260","YEN","","","2024-02-09","","1","","","","","","",""
"Forgotten Waters","302723","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132486188","7.1478","7.75294","2.0992","345","16031","thing","Forgotten Waters","3","7","240","240","120","2020","2,3,4,5,6,7","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","2500","YEN","","","2025-05-26","surugaya","1","","","","","","",""
"Friday","43570","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317653","6.92979","7.11247","2.1546","578","41156","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Frosthaven","295770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139294717","7.9708","8.75812","4.4082","19","23670","thing","Frosthaven","1","4","180","180","90","2022","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","13000","YEN","","","2025-12-01","Surugaya","1","","","","","","",""
"Galaxy Command","177411","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153391","5.50531","5.75","1.6","23687","218","thing","Galaxy Command","1","4","45","45","10","2015","1","1","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","536","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Galaxy Trucker","31481","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862814","7.18769","7.32558","2.329","312","39862","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1890","YEN","","","2025-05-01","Surugaya","1","","","","","","",""
"The Game","173090","0","0","0","1","0","0","0","0","0","0","0","3","","Duel Version For 2 Players","","","","116852941","6.50046","6.71293","1.235","1306","24930","thing","The Game","1","5","20","20","20","2015","1,2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","996","YEN","","","2024-03-01","Temu","","","","","","","",""
"The Game of Life","2921","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317883","4.38504","4.36369","1.1712","29929","24229","thing","The Game of Life","2","6","60","60","60","1960","2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Game of Life: Adventures Card Game","88691","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116852452","5.46074","5.18647","1.1","29145","1007","thing","The Game of Life: Adventures Card Game","2","4","15","15","15","2010","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","422","YEN","","","2024-03-01","Temu","","","","","","","",""
"Geistesblitz","83195","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318625","6.43435","6.70936","1.1317","1475","19183","thing","Ghost Blitz","2","8","20","20","20","2020","2,3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English; French; German; Italian","2020","Multilingual edition 2020"
"Get on Board: New York & London","347013","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118635306","6.34835","6.94228","1.8923","1692","6126","thing","Get on Board: New York & London","2","5","30","30","30","2022","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","2000","YEN","","","2024-04-25","Surugaya","1","","","","","","",""
"Ghost Blitz: Spooky Doo","197760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116096588","5.69028","6.82745","1.4286","6397","1138","thing","Ghost Blitz: Spooky Doo","2","8","20","20","20","2016","3,4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","854","YEN","","","","","","","","","","","",""
"Ginkgopolis","128271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167703","7.06526","7.48538","2.9108","424","10312","thing","Ginkgopolis","1","5","45","45","45","2012","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","3128","YEN","","","2024-02-09","","1","","","","","","",""
"Ginkgopolis: The Experts","145399","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139294779","5.81361","7.61635","2.9474","0","2508","thing","Ginkgopolis: The Experts","2","5","45","45","45","2013","2,3,4","2,3","","No necessary in-game text","","","","","","expansion","","863","YEN","","","","","","","","","","","",""
"Gloom","12692","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116591019","6.14353","6.3295","1.6279","2423","34751","thing","Gloom","2","5","60","60","60","2014","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1378","YEN","","","2024-02-23","","","","","","Atlas Games","English","2014","English second edition"
"Gloom in Space","214898","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153479","5.59807","6.8227","2","9335","1106","thing","Gloom in Space","2","5","60","60","60","2017","2,3,4,5","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","621","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Go","188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121585143","7.30658","7.65751","3.9124","230","26161","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","210","YEN","","","2024-07-31","surugaya","1","","","","","","",""
"Go Fish","7682","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318439","4.6257","3.70199","1.053","29926","2041","thing","Go Fish","2","6","20","20","20","2017","3,4,5","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","2","","","","Toysmith","English","2017","Toysmith English edition"
"Gobblers","13230","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097115","5.73791","6.32836","1.3043","5540","2627","thing","Gobblers","2","2","5","5","5","2003","2","2","4+","No necessary in-game text","","","","","","standalone","","361","YEN","","","2024-02-09","","","","","","","","",""
"El Grande & Carcassonne","301201","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118634524","0","7.9","2","0","35","thing","El Grande & Carcassonne","2","5","120","120","30","2007","","","","","","","","","","standalone","","4500","YEN","","","2024-04-25","Surugaya","1","","","","","","",""
"La Granja","146886","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130095630","7.23443","7.58993","3.5699","273","13347","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","3230","YEN","","","2025-03-07","Surugaya","1","","","","","","",""
"Great Western Trail","193738","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115316595","7.98024","8.15376","3.6943","17","46786","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","4280","YEN","","","2024-01-05","","","","","","","","",""
"The Grizzled","171668","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138300887","6.86952","7.11444","1.9738","650","25015","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Guess Who?","4143","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319917","4.95245","4.85269","1.0904","29909","13868","thing","Guess Who?","2","2","20","20","20","1979","2","2","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119152680","6.9223","7.03005","1.6904","588","89273","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","604","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Le Havre: The Inland Port","129051","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121031540","6.30846","6.79705","2.5029","1808","5822","thing","Le Havre: The Inland Port","2","2","30","30","30","2012","2","2","12+","No necessary in-game text","","","","","","standalone","","1500","YEN","","","2024-07-18","surugaya","1","","","","Z-Man Games","English","2012","English edition"
"Heat: Pedal to the Metal","366013","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129621357","7.79401","8.00518","2.2051","46","56670","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","3000","YEN","","","2025-02-28","ali express","1","","","","","","",""
"Hedbanz for Kids","23049","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319938","5.46093","5.34478","1","29136","2026","thing","Hedbanz for Kids","2","6","30","30","30","0","2,3,4,5,6","3,4,5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Herd Mentality","311322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097766","6.12989","6.6097","1","2487","9204","thing","Herd Mentality","4","20","30","30","20","2020","5,6,7,8,9,10,11,12,13,14","7,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1595","YEN","","","2024-02-09","","1","","","","","","",""
"High Society","220","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130503117","6.9647","7.19313","1.4806","534","24027","thing","High Society","3","5","30","30","15","1995","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116262279","7.16824","7.31648","2.3136","329","57014","thing","Hive","2","2","20","20","20","2001","2","2","8+","No necessary in-game text","","","","","","standalone","","1005","YEN","","","2024-02-09","","1","","","","","","",""
"すごくすごいヨガ (Hyper Super Yoga)","267534","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153343","0","0","0","0","6","thing","すごくすごいヨガ (Hyper Super Yoga)","3","4","25","25","20","2018","","","","","","","","","","standalone","","442","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"IKI","177478","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","132311217","7.02482","7.60162","3.0673","463","11836","thing","IKI","2","4","90","90","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","6440","YEN","","","2025-05-16","surugaya","1","","","","UTSUROI","English; German; Japanese","2015","Multilingual first edition"
"In Front of the Elevators","278751","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133526183","6.05431","7.01312","1.375","2860","2824","thing","In Front of the Elevators","2","4","40","40","20","2019","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","787","YEN","","","2025-06-01","temu","1","","","","","","",""
"Influentia","311191","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319031","5.54046","6.37091","2.2","14340","432","thing","Influentia","3","4","45","45","45","2020","3,4","4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Island","2653","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590884","7.11363","7.30993","1.6931","371","41258","thing","Survive: Escape from Atlantis!","2","4","60","60","45","2012","3,4","4","8+","No necessary in-game text","","","","","","standalone","","2090","YEN","","","","","","","","","asmodee; Stronghold Games","Dutch; French; German; Spanish","2012","Multilingual edition"
"Isle of Monsters","204755","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392165","5.54984","6.18146","1.625","13034","608","thing","Isle of Monsters","2","5","45","45","20","2017","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","1500","YEN","","","2024-06-20","","1","","","","","","",""
"Jaipur","54043","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116097408","7.36293","7.48079","1.4642","203","93616","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","1642","YEN","","","2024-02-09","","1","","","","","","",""
"Jenga","2452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115320089","5.58086","5.66288","1.1015","10320","34583","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jungli-La","215154","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115316712","5.48419","5.11436","1.5","27885","242","thing","Jungli-La","2","5","45","45","30","2016","","","","","","","","","","standalone","","500","YEN","","","","","","","","","","","",""
"Junk Art","193042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118635278","6.9139","7.35075","1.2","598","12062","thing","Junk Art","2","6","30","30","30","2016","2,3,4,5,6","4,5,6","6+","No necessary in-game text","","","","","","standalone","","4000","YEN","","","2024-04-25","Surugaya","1","","","","","","",""
"K2","73761","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118500707","6.71172","6.99811","2.2479","876","11695","thing","K2","1","5","60","60","60","2010","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","1800","YEN","","","2024-04-11","Surugaya","1","","","","","","",""
"K2: Broad Peak","105059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124444719","6.08296","7.52755","2.3636","0","3487","thing","K2: Broad Peak","1","5","60","60","30","2011","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","expansion","","900","YEN","","","2024-10-16","surugaya","1","","","","","","",""
"Kalah","2448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118500783","5.84084","6.00601","1.5954","4325","17330","thing","Kalah","2","2","10","10","10","1940","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kanagawa","200147","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139295412","6.68159","7.00485","2","930","14930","thing","Kanagawa","2","4","45","45","45","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","1470","YEN","","","2025-12-01","Surugaya","1","","","","","","",""
"Kingdomino","204583","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392010","7.17172","7.29019","1.2351","325","89495","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","2256","USD","2024-06-13","Surugaya","1","","","","","","",""
"Kingdomino: Age of Giants","240909","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392033","6.42052","7.16793","1.6591","0","11936","thing","Kingdomino: Age of Giants","2","5","20","20","15","2018","2,3,4,5","5","8+","No necessary in-game text","","","","","","expansion","","1390","YEN","","","2024-06-13","surugaya","1","","","","","","",""
"Konja","223449","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590941","5.62317","6.58527","2.1538","8220","924","thing","Konja","2","2","60","60","30","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","599","YEN","","","2024-02-23","","","","","","Feuerland Spiele; Pixie Games; Pleasant Company Games","English; French; German","2017","English/French/German edition"
"Labyrinth: The Card Game","533","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319116","5.52432","5.58269","1.2113","17769","4227","thing","Labyrinth: The Card Game","2","6","30","30","30","2000","2,3,4,5,6","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Let's Catch the Lion!","56796","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120392052","5.77283","6.55472","1.7073","5052","1013","thing","Let's Catch the Lion!","2","2","15","15","15","2008","2","2","6+","No necessary in-game text","","","","","","standalone","","498","YEN","","","2024-06-13","surugaya","1","","","","","","",""
"Llamaland","330038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131862766","6.42968","7.27026","2.0303","1484","5501","thing","Llamaland","2","4","45","45","45","2021","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","2510","YEN","","","2025-05-01","Surugaya","1","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140038574","7.94209","8.35826","2.0647","27","36023","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","2680","YEN","","","2025-12-26","Aliexpress","1","","","","","","",""
"Lost Cities","50","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130039733","7.14976","7.25533","1.475","342","74965","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","2000","YEN","","","2025-03-05","surugaya","1","","","","","","",""
"Love Letter: The Hobbit – The Battle of the Five Armies","169611","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","120595568","6.20924","7.12811","1.2667","2164","3762","thing","Love Letter: The Hobbit – The Battle of the Five Armies","2","4","30","30","20","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","1300","YEN","","","2024-06-24","surugaya","1","","","","","","",""
"Make 'n' Break","10206","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153513","5.67603","6.01973","1.2527","6723","3260","thing","Make 'n' Break","2","4","30","30","30","2004","1,2,3,4","2","4+","No necessary in-game text","","","","","","standalone","","561","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Mastermind","2392","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319677","5.59129","5.67147","1.7838","9699","15984","thing","Mastermind","2","2","20","20","20","1971","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Math Fluxx","219430","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121584953","5.64118","6.30051","1.5","7635","1813","thing","Math Fluxx","2","6","30","30","5","2017","2,3,4,5,6","3,4","8","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","210","YEN","","","2024-07-31","surugaya","1","","","","","","",""
"Mechanica","268493","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167876","5.80207","6.6927","2.36","4702","1860","thing","Mechanica","1","4","75","75","45","2020","1,2,3","2","10+","No necessary in-game text","","","","","","standalone","","800","YEN","","","2024-02-09","","1","","","","","","",""
"Menara","244608","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115317920","6.72644","7.41399","1.5513","854","7199","thing","Menara","1","4","60","60","10","2018","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Micro Dojo","319592","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124996947","5.69864","6.61124","2.0667","6232","1449","thing","Micro Dojo","1","2","30","30","10","2021","1,2","2","10","No necessary in-game text","","","","","","standalone","","380","YEN","","","2024-11-02","surugaya","1","","","","","","",""
"Micropolis","239840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116167779","6.06796","6.77563","1.7632","2782","2856","thing","Micropolis","2","6","30","30","30","2018","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","2300","YEN","","","2024-02-09","","1","","","","","","",""
"The Mind","244992","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","116097327","6.59936","6.72395","1.074","1086","67417","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","651","YEN","","","2024-02-09","","1","","","","","","",""
"Modern Art","118","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115318505","7.32774","7.52185","2.2794","219","33092","thing","Modern Art","3","5","45","45","45","2004","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2004","Mayfair English edition 2004"
"Modern Society","31380","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119153427","5.50909","5.56091","2.1111","22469","396","thing","Modern Society","3","5","60","60","60","2009","3,4","3","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","578","YEN","","","2024-05-08","Surugaya","1","","","","","","",""
"Monopoly Junior","5339","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319633","4.94879","4.35967","1.192","29910","4913","thing","Monopoly Junior","2","4","45","45","45","2003","2,3,4","3,4","5–8","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Parker Brothers","English","2003","Parker English edition 2003"
"Monster Meister","245053","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117740151","0","6.41071","0","0","87","thing","Monster Meister","2","4","15","15","15","2018","","","","","","","","","","standalone","","500","YEN","","","","","1","","","","","","",""
"Munchkin Apocalypse: Kaiju","332805","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","115319146","0","7.5","0","0","110","thing","Munchkin Apocalypse: Kaiju","3","6","120","120","60","2021","3,4","4","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin: Waiting For Santa","43894","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139294694","5.62284","6.59141","1.8214","0","1636","thing","Munchkin: Waiting For Santa","3","6","90","90","90","2009","3,4,5,6","4","12+","Unplayable in another language","","","","","","expansion","","260","YEN","","","2025-12-01","Surugaya","1","","","","","","",""
"My Little Scythe","226320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116590794","6.70865","7.20719","2.0299","880","13845","thing","My Little Scythe","1","6","60","60","45","2018","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1710","YEN","","","2024-02-23","","","","","","","","",""
"Narabi","257836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116096714","5.58541","5.98322","1.2857","10071","1329","thing","Narabi","3","5","15","15","15","2018","3,4,5","4","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","679","YEN","","","2024-02-03","","1","","","","","","",""
"Near and Far","195421","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123892485","7.23663","7.64426","2.8938","272","22900","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","3400","YEN","","","2024-10-10","sur","1","","","","","","",""
"Not Alone","194879","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132299428","6.66936","6.95585","1.9921","955","18005","thing","Not Alone","2","7","45","45","30","2016","3,4,5,6,7","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","1780","YEN","","","2025-05-15","surugaya","1","","","","","","",""
